2018-10-18 07:46:37.731464	https://www.encodeproject.org/report/?type=ReferenceEpigenome&field=accession&field=biosample_term_name&field=related_datasets.assay_term_name&field=description&field=award.project&field=status&field=related_datasets.replicates.library.biosample.organism.scientific_name&field=dbxrefs&field=assay_term_id&field=biosample_type&field=assay_synonyms&field=biosample_term_id&field=biosample_synonyms&limit=all
Accession	Biosample term	Assay Type	Description	Project	Status	Species	External identifiers	Assay term id	Biosample type	Assay synonyms	Biosample term id	Biosample synonyms
ENCSR993QER	small intestine	whole-genome shotgun bisulfite sequencing,RNA-seq,ChIP-seq,DNase-seq	REMC Epigenome (Class 2) for Fetal Intestine Small using donors/samples:H-24595; H-23769	Roadmap	released	Homo sapiens	IHEC:IHECRE00000949.1	OBI:0000716,OBI:0001853,OBI:0001271,OBI:0001863	tissue	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002108	intestinum tenue,mid intestine,Entire small intestine,small intestine,small bowel,anterior intestine
ENCSR452BCG	H7-hESC	ChIP-seq,RNA-seq,DNase-seq	Reference epigenome for H7-hESC	ENCODE	released	Homo sapiens		OBI:0000716,OBI:0001853,OBI:0001271	stem cell	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,transcription profiling by high throughput sequencing	EFO:0005904	H7-ES,H7,WA07,H7 cell
ENCSR370JPV	neurosphere	microRNA-seq,RNA-seq,whole-genome shotgun bisulfite sequencing,MRE-seq,MeDIP-seq,ChIP-seq	REMC Epigenome (Class 2) for Ganglion Eminence Derived Primary Cultured Neurospheres using donors/samples:HuFNSC02	Roadmap	released	Homo sapiens	IHEC:IHECRE00000933.1	OBI:0000716,OBI:0001863,OBI:0001922,OBI:0000693,OBI:0001271,OBI:0001861	primary cell	Methylated DNA immunoprecipitation sequencing assay,miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,methylation-sensitive restriction enzyme sequencing assay,microRNA-seq,WGSBS,whole genome bisulfite sequencing,RNA-seq assay,microRNA profiling by high throughput sequencing assay,MRE-seq,Shotgun bisulfite sequencing,MeDIP-seq assay,MRE-seq assay,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	NTR:0000427	
ENCSR228KEB	right lobe of liver	ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq,microRNA-seq,DNase-seq,ATAC-seq	Reference epigenome for right lobe of liver (53 year old female)	ENCODE	released	Homo sapiens		OBI:0002039,OBI:0000716,OBI:0001863,OBI:0001922,OBI:0001853,OBI:0001271	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,DNase I hypersensitive sites sequencing assay,microRNA profiling by high throughput sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,ATAC-seq,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0001114	liver right lobe,lobus hepaticus dexter,right liver lobe
ENCSR297HCQ	trophoblast cell	ChIP-seq,whole-genome shotgun bisulfite sequencing,DNase-seq,RNA-seq	REMC Epigenome (Class 1) for H1 Derived Trophoblast Cultured Cells using donors/samples:BMP4-05 ;BMP4-06; BMP4-09; BMP4-10	Roadmap	released	Homo sapiens	IHEC:IHECRE00000974.1	OBI:0000716,OBI:0001853,OBI:0001271,OBI:0001863	in vitro differentiated cells	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	CL:0000351	trophoblastic cell
ENCSR180QGA	neurosphere	microRNA-seq,RNA-seq,whole-genome shotgun bisulfite sequencing,MeDIP-seq,MRE-seq,ChIP-seq	REMC Epigenome (Class 4) for Cortex Derived Primary Cultured Neurospheres using donors/samples:HuFNSC02	Roadmap	released	Homo sapiens	IHEC:IHECRE00000939.1	OBI:0000716,OBI:0001863,OBI:0001922,OBI:0000693,OBI:0001271,OBI:0001861	primary cell	Methylated DNA immunoprecipitation sequencing assay,miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,methylation-sensitive restriction enzyme sequencing assay,microRNA-seq,WGSBS,whole genome bisulfite sequencing,RNA-seq assay,microRNA profiling by high throughput sequencing assay,MRE-seq,Shotgun bisulfite sequencing,MeDIP-seq assay,MRE-seq assay,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	NTR:0000427	
ENCSR820MXK	muscle of leg	ChIP-seq,DNase-seq	REMC Epigenome (Class 5) for Fetal Muscle Leg using donors/samples:H-24644	Roadmap	released	Homo sapiens	IHEC:IHECRE00000995.1	OBI:0000716,OBI:0001853	tissue	ChIP-seq assay,DNase I hypersensitive sites sequencing assay,DNase-seq assay,DNase-seq,chromatin immunoprecipitation sequencing assay	UBERON:0001383	muscle of thigh or crus,muscle of hindlimb zeugopod or stylopod,leg skeletal muscle tissue,muscle of upper or lower hindlimb segment,leg skeletal muscle,leg muscle,muscle organ of leg,skeletal muscle of leg,muscle of upper/lower leg,leg muscle organ
ENCSR193VID	duodenal mucosa	transcription profiling by array assay,RRBS,ChIP-seq	REMC Epigenome (Class 4) for Duodenum Mucosa using donors/samples:61	Roadmap	released	Homo sapiens	IHEC:IHECRE00000929.1	OBI:0000716,OBI:0001862,OBI:0001463	tissue	RNA profiling by array assay,RRBS,transcription profiling by array assay,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	UBERON:0000320	mucosa of duodenum,mucous membrane of duodenum,duodenal mucous membrane,doudenal mucosa
ENCSR120CKY	gastrocnemius medialis	ChIP-seq,ATAC-seq,RNA-seq,DNase-seq,microRNA-seq	Reference Epigenome of skeletal muscle tissue (54 year old male)	ENCODE	released	Homo sapiens		OBI:0000716,OBI:0001853,OBI:0001271,OBI:0002039,OBI:0001922	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,microRNA-seq,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,ATAC-seq assay,microRNA profiling by high throughput sequencing assay,DNase-seq,ATAC-seq,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing	UBERON:0011907	caput mediale musculus gastrocnemii,caput mediale (musculus gastrocnemius),medial head of gastrocnemius,medial head of gastrocnemius muscle
ENCSR194DQD	endothelial cell of umbilical vein	ChIP-seq,RNA-seq,DNase-seq	Reference Epigenome of endothelial cell of umbilical vein	ENCODE	released	Homo sapiens	IHEC:IHECRE00001881.1	OBI:0000716,OBI:0001853,OBI:0001271	primary cell	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,transcription profiling by high throughput sequencing	CL:0002618	
ENCSR519AFE	spleen	ChIP-seq,RNA-seq	Reference epigenome for spleen (53 year old female)	ENCODE	released	Homo sapiens		OBI:0000716,OBI:0001271	tissue	ChIP-seq assay,RNA-seq assay,transcription profiling by high throughput sequencing,chromatin immunoprecipitation sequencing assay	UBERON:0002106	lien,Entire spleen
ENCSR483SIP	midbrain	ATAC-seq,microRNA-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq	Reference Epigenome for mouse midbrain (embryonic 16.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001807.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0001891	mesencephalon,Entire midbrain
ENCSR049ZYT	heart	ChIP-seq,RNA-seq,ATAC-seq,whole-genome shotgun bisulfite sequencing,microRNA-seq,DNase-seq	Reference epigenome for mouse heart (postnatal day 0).	ENCODE	released	Mus musculus	IHEC:IHECRE00001776.1	OBI:0002039,OBI:0000716,OBI:0001863,OBI:0001922,OBI:0001853,OBI:0001271	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,DNase I hypersensitive sites sequencing assay,microRNA profiling by high throughput sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,ATAC-seq,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0000948	Entire heart,vertebrate heart,Herz,chambered heart,branchial heart
ENCSR612NLL	K562	ChIP-seq,RNA-seq,whole-genome shotgun bisulfite sequencing,microRNA-seq,microRNA counts,DNase-seq	Reference Epigenome of K562	ENCODE	released	Homo sapiens	IHEC:IHECRE00001887.1	OBI:0000716,OBI:0001863,OBI:0001922,OBI:0001853,OBI:0001271,OBI:0002142	cell line	microRNA counts,miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,DNase I hypersensitive sites sequencing assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,DNase-seq,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,Nanostring nCounter miRNA expression assay,shotgun bisulfite-seq assay	EFO:0002067	K-562,K-562 cell, K562 cell
ENCSR934NIX	Peyer's patch	ChIP-seq,RNA-seq,DNase-seq,ATAC-seq	Reference epigenome for Peyer's patch (53 year old female)	ENCODE	released	Homo sapiens		OBI:0000716,OBI:0001853,OBI:0001271,OBI:0002039	tissue	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,ATAC-seq assay,DNase-seq,ATAC-seq,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing	UBERON:0001211	aggregated lymphoid nodule,noduli lymphoidei aggregati intestini tenuis,Peyer Patch,noduli lymphoidei aggregati,aggregated lymphoid follicle of intestine
ENCSR356VGB	hindbrain	ATAC-seq,ChIP-seq,RNA-seq,whole-genome shotgun bisulfite sequencing,microRNA-seq	Reference epigenome for mouse hindbrain (embryonic 15.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001799.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002028	Hindbrain structure,rhombencephalon
ENCSR199UQX	CD4-positive, alpha-beta memory T cell	ChIP-seq	REMC Epigenome (Class 5) for Primary T Helper Memory Cells from Peripheral Blood 1 using donors/samples:62;332	Roadmap	released	Homo sapiens	IHEC:IHECRE00000978.1	OBI:0000716	primary cell	ChIP-seq assay,chromatin immunoprecipitation sequencing assay	CL:0000897	CD4-positive, alpha-beta memory T-cell,CD4-positive, alpha-beta memory T lymphocyte,CD4-positive, alpha-beta memory T-lymphocyte
ENCSR339JWY	skeletal muscle myoblast	RNA-seq,ChIP-seq,DNase-seq,whole-genome shotgun bisulfite sequencing	Reference Epigenome of skeletal muscle myoblast	ENCODE	released	Homo sapiens	IHEC:IHECRE00001891.1	OBI:0000716,OBI:0001853,OBI:0001271,OBI:0001863	primary cell	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	CL:0000515	skeletal myoblast,HSMM
ENCSR518LTW	Panc1	ChIP-seq,RRBS,DNase-seq,RNA-seq	Reference Epigenome of Panc1	ENCODE	released	Homo sapiens	IHEC:IHECRE00001858.1	OBI:0000716,OBI:0001862,OBI:0001853,OBI:0001271	cell line	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,RRBS assay,transcription profiling by high throughput sequencing,reduced representation bisulfite sequencing assay	EFO:0002713	PANC-1
ENCSR722JRY	common myeloid progenitor, CD34-positive	ChIP-seq	REMC Epigenome (Class 5) for Primary Hematopoietic Stem Cells Short Term Culture using donors/samples:123;cultured_CD34_2_20_09	Roadmap	released	Homo sapiens	IHEC:IHECRE00000926.1	OBI:0000716	primary cell	ChIP-seq assay,chromatin immunoprecipitation sequencing assay	CL:0001059	common myeloid precursor, CD34-positive
ENCSR894URD	forebrain	ATAC-seq,RNA-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,DNase-seq,microRNA-seq	Reference epigenome for mouse forebrain (embryonic 14.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001844.1	OBI:0002039,OBI:0000716,OBI:0001863,OBI:0001922,OBI:0001853,OBI:0001271	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,DNase I hypersensitive sites sequencing assay,microRNA profiling by high throughput sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,ATAC-seq,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0001890	Entire prosencephalon,prosencephalon
ENCSR649KUM	midbrain	ATAC-seq,whole-genome shotgun bisulfite sequencing,ChIP-seq,DNase-seq,microRNA-seq,RNA-seq	Reference Epigenome for mouse midbrain (embryonic 14.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001821.1	OBI:0002039,OBI:0000716,OBI:0001863,OBI:0001922,OBI:0001853,OBI:0001271	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,DNase-seq assay,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,DNase I hypersensitive sites sequencing assay,microRNA profiling by high throughput sequencing assay,RNA-seq assay,DNase-seq,Shotgun bisulfite sequencing,ATAC-seq,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0001891	mesencephalon,Entire midbrain
ENCSR792SPH	embryonic facial prominence	ATAC-seq,microRNA-seq,RNA-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing	Reference epigenome for mouse embryonic facial prominence (13.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001831.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0012314	
ENCSR207FTI	common myeloid progenitor, CD34-positive	RRBS,ChIP-seq	REMC Epigenome (Class 4) for Primary Hematopoietic Stem Cells using donors/samples:CD34_39629; CD34_39661; CD34_39804; CD34_39811; CD34_39889	Roadmap	released	Homo sapiens	IHEC:IHECRE00000932.1	OBI:0000716,OBI:0001862	primary cell	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	CL:0001059	common myeloid precursor, CD34-positive
ENCSR438IXZ	forebrain	ATAC-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq,microRNA-seq	Reference epigenome for mouse forebrain (embryonic 15.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001805.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0001890	Entire prosencephalon,prosencephalon
ENCSR618QCB	iPS-20b	RRBS,transcription profiling by array assay,ChIP-seq	REMC Epigenome (Class 4) for iPS-20b Cells using donors/samples:66;67;BioSam_174	Roadmap	released	Homo sapiens	IHEC:IHECRE00001054.1	OBI:0000716,OBI:0001862,OBI:0001463	induced pluripotent stem cell line	RNA profiling by array assay,RRBS,transcription profiling by array assay,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	EFO:0007108	
ENCSR520JSM	heart	ATAC-seq,ChIP-seq,RNA-seq,whole-genome shotgun bisulfite sequencing,microRNA-seq	Reference Epigenome for mouse heart (embryonic 15.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001812.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0000948	Entire heart,vertebrate heart,Herz,chambered heart,branchial heart
ENCSR952ERW	foreskin melanocyte	microRNA-seq,RNA-seq,MRE-seq,MeDIP-seq,ChIP-seq	REMC Epigenome (Class 4) for Foreskin Melanocyte Primary Cells using donors/samples:skin03	Roadmap	released	Homo sapiens	IHEC:IHECRE00001026.1	OBI:0000716,OBI:0001271,OBI:0001861,OBI:0001922,OBI:0000693	primary cell	Methylated DNA immunoprecipitation sequencing assay,miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,methylation-sensitive restriction enzyme sequencing assay,microRNA-seq,RNA-seq assay,MRE-seq,microRNA profiling by high throughput sequencing assay,MeDIP-seq assay,MRE-seq assay,transcription profiling by high throughput sequencing	CL:2000045	
ENCSR774QPF	hindbrain	ATAC-seq,microRNA-seq,ChIP-seq,RNA-seq,whole-genome shotgun bisulfite sequencing	Reference epigenome for mouse hindbrain (embryonic 16.5 day).	ENCODE	released	Mus musculus	IHEC:IHECRE00001830.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0002028	Hindbrain structure,rhombencephalon
ENCSR199TFQ	MEL cell line	ChIP-seq,RNA-seq,DNase-seq	Reference Epigenome for mouse MEL cell line	ENCODE	released	Mus musculus	IHEC:IHECRE00001781.1	OBI:0000716,OBI:0001853,OBI:0001271	cell line	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,transcription profiling by high throughput sequencing	EFO:0003971	Mouse Erythroleukemia cell line
ENCSR430AFL	HUES6	ChIP-seq,RRBS	REMC Epigenome (Class 5) for HUES6 Cells using donors/samples:199;207	Roadmap	released	Homo sapiens	IHEC:IHECRE00000941.1	OBI:0000716,OBI:0001862	stem cell	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	EFO:0007086	
ENCSR163VWG	B cell	transcription profiling by array assay,RRBS,ChIP-seq	REMC Epigenome (Class 4) for Primary B cells from Cord Blood using donors/samples:130;CD19_12/22/08;CD19_12/29/08;CD19_2/20/09;CD19_6/26/08;CD19_8/1/08	Roadmap	released	Homo sapiens	IHEC:IHECRE00001051.1	OBI:0000716,OBI:0001862,OBI:0001463	primary cell	RNA profiling by array assay,RRBS,transcription profiling by array assay,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,RRBS assay,reduced representation bisulfite sequencing assay	CL:0000236	Bursa-Dependent Lymphocytes,B-lymphocyte,B Cells,B-cell,B-Cells,B lymphocyte,Bursa-Equivalent Lymphocyte,B Lymphocytes,B-Lymphocytes
ENCSR362MQF	astrocyte	ChIP-seq,RRBS,DNase-seq,RNA-seq	Reference Epigenome of astrocyte	ENCODE	released	Homo sapiens	IHEC:IHECRE00001890.1	OBI:0000716,OBI:0001862,OBI:0001853,OBI:0001271	primary cell	RRBS,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,DNase-seq,RRBS assay,transcription profiling by high throughput sequencing,reduced representation bisulfite sequencing assay	CL:0000127	astrocytic glia
ENCSR909ZPT	HUES64	ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq	REMC Epigenome (Class 2) for HUES64 Cells using donors/samples:196;202;BioSam_825	Roadmap	released	Homo sapiens	IHEC:IHECRE00000961.1	OBI:0000716,OBI:0001271,OBI:0001863	stem cell	chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,WGSBS,whole genome bisulfite sequencing,RNA-seq assay,Shotgun bisulfite sequencing,WGBS,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	EFO:0007089	
ENCSR899EVA	cortical plate	RNA-seq,ChIP-seq	Reference epigenome for mouse cortical plate (adult 8 weeks)	ENCODE	released	Mus musculus		OBI:0001271,OBI:0000716	tissue	ChIP-seq assay,transcription profiling by high throughput sequencing,chromatin immunoprecipitation sequencing assay,RNA-seq assay	UBERON:0005343	future cortical layers II-VI,neocortex cortical plate,cerebral cortex cortical plate
ENCSR034KRZ	endocrine pancreas	ChIP-seq,microRNA-seq,RNA-seq,RRBS	REMC Epigenome (Class 4) for Pancreatic Islets using donors/samples:pancreatic_islets_normal_0/0/00; pancreatic_islets_normal_3/27/09; ZD4_273	Roadmap	released	Homo sapiens	IHEC:IHECRE00001035.1	OBI:0000716,OBI:0001862,OBI:0001271,OBI:0001922	tissue	RRBS,miRNA-seq,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,microRNA-seq assay,ChIP-seq assay,microRNA-seq,RNA-seq assay,microRNA profiling by high throughput sequencing assay,RRBS assay,transcription profiling by high throughput sequencing,reduced representation bisulfite sequencing assay	UBERON:0000016	endocrine part of pancreas,endocrine pancreas,islets of Langerhans part of pancreas,endocrine pancreas cell,Entire endocrine pancreas,islet cell,pars endocrina pancreatis
ENCSR309SGV	HCT116	ChIP-seq,DNase-seq,RNA-seq,RRBS,microRNA-seq,microRNA counts	Reference Epigenome of HCT116	ENCODE	archived	Homo sapiens	IHEC:IHECRE00001855.1	OBI:0000716,OBI:0001862,OBI:0001922,OBI:0001853,OBI:0001271,OBI:0002142	cell line	Nanostring nCounter miRNA expression assay,RRBS,miRNA-seq,reduced representation bisulfite-seq,chromatin immunoprecipitation sequencing assay,microRNA-seq assay,ChIP-seq assay,microRNA-seq,DNase-seq assay,DNase I hypersensitive sites sequencing assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,DNase-seq,RRBS assay,transcription profiling by high throughput sequencing,reduced representation bisulfite sequencing assay,microRNA counts	EFO:0002824	HCT116 cell,HCT-116 cell
ENCSR273IZZ	neural tube	ATAC-seq,microRNA-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq	Reference Epigenome for mouse neural tube (embryonic, 12.5 day)	ENCODE	released	Mus musculus	IHEC:IHECRE00001791.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0001049	
ENCSR656TAD	heart	RNA-seq,ChIP-seq,DNase-seq	Reference Epigenome for mouse heart (adult, 8 weeks)	ENCODE	released	Mus musculus	IHEC:IHECRE00001822.1	OBI:0001271,OBI:0001853,OBI:0000716	tissue	ChIP-seq assay,transcription profiling by high throughput sequencing,RNA-seq assay,DNase I hypersensitive sites sequencing assay,DNase-seq assay,chromatin immunoprecipitation sequencing assay,DNase-seq	UBERON:0000948	Entire heart,chambered heart,branchial heart,vertebrate heart,Herz
ENCSR524JAQ	heart	ATAC-seq,microRNA-seq,ChIP-seq,whole-genome shotgun bisulfite sequencing,RNA-seq	Reference Epigenome for mouse heart (embryonic 12.5 day)	ENCODE	released	Mus musculus	IHEC:IHECRE00001813.1	OBI:0000716,OBI:0001271,OBI:0002039,OBI:0001922,OBI:0001863	tissue	miRNA-seq,microRNA-seq assay,chromatin immunoprecipitation sequencing assay,ChIP-seq assay,whole-genome shotgun bisulfite sequencing,microRNA-seq,WGSBS,whole genome bisulfite sequencing,ATAC-seq assay,RNA-seq assay,microRNA profiling by high throughput sequencing assay,ATAC-seq,Shotgun bisulfite sequencing,WGBS,assay for transposase-accessible chromatin using sequencing,transcription profiling by high throughput sequencing,shotgun bisulfite-seq assay	UBERON:0000948	Entire heart,vertebrate heart,Herz,chambered heart,branchial heart
